Código,Posto,Mês/Ano,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
490,Cabo (Barragem de Gurjaú),ago./2024,0,"0,1","5,6","6,7","12,4",0,0,0,"4,7",0,0,0,0,0,0,"1,3",0,"2,4","8,1","2,2","2,9",0,0,0,0,0,0,"5,7","3,8","1,2","6,4","1813,5"
491,Cabo (Barragem de Suape),ago./2024,0,0,"2,8","4,5","14,1",0,"0,6",0,"3,9",0,0,0,0,0,"2,7","3,7",0,"2,6","9,3","4,6","0,5",0,0,0,0,0,0,"3,3","2,1",0,0,"1764,8"
603,Cabo (Pirapama),ago./2024,0,"0,4","5,8","0,1","37,8","0,8","2,2","0,2",4,"0,1",0,0,0,0,0,0,"0,3","0,3","6,7","2,4","1,4","0,1","0,2",0,0,0,"0,2","9,4","3,1","0,2","3,8","1927,2"
201,Camaragibe,ago./2024,0,0,"4,5","5,7","7,8",0,0,0,0,0,"1,5",0,0,0,0,0,0,"0,4","6,5","1,9",1,0,0,"1,5",0,0,0,2,"1,3",0,0,"1620,3"
28,Goiana (Itapirema - IPA),ago./2024,0,0,"3,6",3,"0,6",0,0,0,"2,8",0,0,"0,2","0,2",0,0,0,"1,6",0,"1,6","2,6",1,"0,2",1,"0,4",0,0,0,"0,8",0,"1,4",0,"1275,3"
487,Goiana - PCD,ago./2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"221,4"
100,Igarassu,ago./2024,0,"1,1","2,5","7,7","9,6","0,1",0,0,"6,9",0,0,0,0,0,"2,1","4,3",0,3,"3,8","4,1","4,1",0,0,"2,7",0,0,0,"1,2",0,0,-,1579
269,Igarassu (Bar.Catucá),ago./2024,0,0,3,9,4,0,0,0,"1,7",0,0,0,0,0,0,"4,3",0,-,"4,3","6,5",1,0,0,"1,2",0,0,0,1,"2,6",1,"1,5","1254,1"
294,Igarassu (Usina São José),ago./2024,1,2,"2,5","3,5","5,8","0,2","0,5",0,4,0,0,0,0,0,0,6,0,0,5,5,0,0,0,0,0,0,0,0,"1,3",0,0,"1389,1"
387,Ipojuca,ago./2024,0,0,"1,4","7,2","5,5","0,3","3,5",0,"2,5",0,0,0,0,0,"0,9","0,7",0,"7,1","13,9",2,"3,9","0,7",0,"1,5",0,0,"0,3","19,3","3,1",0,2,"1859,6"
602,Ipojuca (Suape) - PCD,ago./2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"467,8"
524,Itamaracá,ago./2024,"2,4",1,"0,5","4,5","9,6","1,8",0,0,0,0,0,"0,5",0,0,0,0,0,"0,6","1,7",3,"0,7",0,0,"0,6",0,0,0,"1,2","1,6","0,4",0,"1558,8"
520,Itapissuma,ago./2024,"2,1","0,9","1,2",5,"8,5","2,2",0,0,0,0,0,"0,7",0,0,0,0,0,"0,5",1,"2,5","0,4",0,0,0,0,0,0,1,"1,4","0,7",0,"1723,9"
604,Jaboatão (Cidade da Copa) - PCD,ago./2024,"0,4","0,6","2,8","5,4",9,1,"0,2","1,6","2,2","0,6","0,2","0,6",0,"0,6",2,0,0,"0,6",12,"1,2",3,0,0,3,0,"0,2","1,8","4,6",1,"0,6","2,2","2019,2"
202,Jaboatão dos Guararapes,ago./2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
268,Jaboatão dos Guararapes (Bar.Duas Unas),ago./2024,0,1,"1,4","5,8","16,1",0,"0,6",0,3,0,0,0,0,0,"0,2","0,3",0,"0,6","7,4","3,7","1,5","0,3",0,"0,9",0,0,0,"2,5","3,2",0,7,"1761,8"
